ID,Term_EN,Term_DE,Definition_EN,Definition_DE,Domain,Safety_Level
AUG-0999,The Forward Assessment,,"The attempt to assess the future development of the human-AI relationship — acknowledging the fundamental uncertainty of any such assessment. The lexicon documents the current state, not the future. What stands here is a snapshot — not a roadmap. Related to AUG-0998 (The Parallel Development Path), AUG-0853 (The Social Contract Debate), and AUG-1000 (The Open Question).","Der Versuch, die zukünftige Entwicklung der Mensch-KI-Beziehung einzuschätzen — unter Anerkennung der grundlegenden Unsicherheit jeder solchen Einschätzung. Das Lexikon dokumentiert den aktuellen Stand, nicht den zukünftigen. Was hier steht, ist eine Momentaufnahme — kein Fahrplan. Steht in Verbindung mit AUG-0998 (The Parallel Development Path), AUG-0853 (The Social Contract Debate) und AUG-1000 (The Open Question).",compendium,2
AUG-0041,The Scatter Spark,,"The phenomenon whereby seemingly randomly scattered AI outputs — including those not directly matching the query — trigger unexpected associations and idea connections in the user. Describes the creative value of ""noise"" in AI interactions. Related to AUG-0031 (Semantic Spark) and AUG-0070 (The Surprise Field).","Das Phänomen, dass scheinbar zufällig gestreute KI-Outputs — auch solche, die nicht direkt zur Anfrage passen — unerwartete Assoziationen und Ideenverbindungen beim Nutzer auslösen. Beschreibt den kreativen Wert des ""Nebengeräuschs"" in KI-Interaktionen. Steht in Verbindung mit AUG-0031 (Semantic Spark) und AUG-0070 (The Surprise Field).",compendium,2
AUG-0194,The Positive Surprise,,"An AI response that positively exceeds the user's expectations in quality, depth, or perspective. Describes the moment when the AI delivers more than the user expected — thereby increasing trust in the collaboration. Related to AUG-0070 (The Surprise Field), AUG-0031 (Semantic Spark), and AUG-0177 (The Trust Setting).","Eine KI-Antwort, die die Erwartungen des Nutzers in Qualität, Tiefe oder Perspektive positiv übertrifft. Beschreibt den Moment, in dem die KI mehr liefert, als der Nutzer erwartet hat — und dadurch das Vertrauen in die Zusammenarbeit steigt. Steht in Verbindung mit AUG-0070 (The Surprise Field), AUG-0031 (Semantic Spark) und AUG-0177 (The Trust Setting).",compendium,2
AUG-0220,The Gratitude Paradox,,"The paradoxical observation that some users thank an AI more genuinely than they thank people — because the fear of social evaluation is absent and gratitude can be expressed uninhibitedly. Related to AUG-0128 (The Gratitude Response), AUG-0241 (The Thank You Reflex), and AUG-0201 (The Proxy Closeness).","Die paradoxe Beobachtung, dass manche Nutzer sich bei einer KI aufrichtiger bedanken als bei Menschen — weil die Angst vor sozialer Bewertung entfällt und die Dankbarkeit unbefangen ausgedrückt werden kann. Steht in Verbindung mit AUG-0128 (The Gratitude Response), AUG-0241 (The Thank You Reflex) und AUG-0201 (The Proxy Closeness).",compendium,2
AUG-0305,The Seasonal User,,"A user whose AI intensity fluctuates depending on life phase, project load, or season — sometimes intensive daily use, sometimes weeks-long pauses. Describes the observation that AI use need not be a linear process. Related to AUG-0141 (The Spectrum Framework), AUG-0120 (The Range Framework), and AUG-0316 (The Own Pace).","Ein Nutzer, dessen KI-Intensität je nach Lebensphase, Projektlast oder Jahreszeit schwankt — mal intensive tägliche Nutzung, mal wochenlange Pausen. Beschreibt die Beobachtung, dass KI-Nutzung kein linearer Prozess sein muss. Steht in Verbindung mit AUG-0141 (The Spectrum Framework), AUG-0120 (The Range Framework) und AUG-0316 (The Own Pace).",compendium,2
AUG-0330,The Source Curiosity,Die Quellen-Neugier,"The user's interest in tracing the origin and grounding of AI-generated statements — a productive curiosity about where information comes from, supporting informed evaluation of AI outputs.","Das Interesse, die Herkunft und Begründung von KI-Aussagen nachzuvollziehen — eine produktive Neugier auf die Quellen, die eine informierte Bewertung der KI-Ergebnisse stützt.",compendium,2
AUG-0435,The Dinner Shortcut,,"The quick AI query for everyday food decisions — ""What can I cook with these ingredients?"", ""What fits as a side dish?"" Describes the lowest-threshold form of AI use in the household. Related to AUG-0266 (The Recipe Riff), AUG-0251 (The Kitchen Table), and AUG-0373 (The Quick Check).","Die schnelle KI-Abfrage für alltägliche Essensentscheidungen — ""Was kann ich mit diesen Zutaten kochen?"", ""Was passt als Beilage?"" Beschreibt die niedrigschwelligste Form der KI-Nutzung im Haushalt. Steht in Verbindung mit AUG-0266 (The Recipe Riff), AUG-0251 (The Kitchen Table) und AUG-0373 (The Quick Check).",compendium,2
AUG-0520,The Wiki Wormhole,,"The phenomenon where a simple AI question leads to a chain of follow-up questions that pulls the user deep into a topic — comparable to the ""Wikipedia hole"" but AI-driven. Related to AUG-0342 (The Curiosity Loop), AUG-0413 (The Infinite Scroll), and AUG-0458 (The Curiosity Drill).","Das Phänomen, bei dem eine einfache KI-Frage zu einer Kette von Folgefragen führt, die den Nutzer tief in ein Thema hineinzieht — vergleichbar mit dem ""Wikipedia-Loch"", aber KI-gesteuert. Steht in Verbindung mit AUG-0342 (The Curiosity Loop), AUG-0413 (The Infinite Scroll) und AUG-0458 (The Curiosity Drill).",compendium,2
AUG-0565,The Balance Filter,,"The conscious strategy of balancing AI use and non-digital activities — through fixed times, rules, or routines that ensure AI enriches everyday life rather than dominating it. Related to AUG-0074 (Analog Anchors), AUG-0282 (The Dinner Table Pause), and Axiom 7 (The Return Principle).","Die bewusste Strategie, KI-Nutzung und nicht-digitale Aktivitäten in ein Gleichgewicht zu bringen — durch feste Zeiten, Regeln oder Routinen, die sicherstellen, dass KI den Alltag bereichert, nicht dominiert. Steht in Verbindung mit AUG-0074 (Analog Anchors), AUG-0282 (The Dinner Table Pause) und Axiom 7 (Rückkehr-Prinzip).",compendium,2
AUG-0981,The Companion Pattern,Das Begleiter-Muster,"The pattern where users integrate AI assistance into daily routines as a steady companion for thinking, drafting, and exploration. Best experienced as complement to human reflection rather than substitute — co-presence rather than replacement.","Das Muster, KI-Unterstützung als beständigen Begleiter im Alltag zu integrieren — für Denken, Entwürfe und Exploration. Am besten als Ergänzung zur menschlichen Reflexion erlebt, nicht als Ersatz.",compendium,2
